chr	start	end	Distance.to.TSS	Gene.Name	strand	6OHDA_Tag	Sham_Tag	6OHDA_NDST3_Tag	Fold.Sham	Fold.6OHDA_NDST3
chr1	43137692	43137849	18	Tgfbrap1	+	33.50	27.99	48.73	1.2	-1.46
chr1	43202960	43203095	94	Fhl2	+	24.85	18.11	30.32	1.37	1.22
chr1	43203194	43203294	-123	Fhl2	+	30.55	6.28	33.14	4.87	-1.09
chr1	43484499	43484599	-362	Nck2	+	12.95	14.56	14.44	-1.13	1.11
chr1	43484792	43484951	-40	Nck2	+	17.40	19.61	21.38	-1.13	1.23
chr1	43769492	43769592	-220	Ecrg4	+	1.75	8.75	2.33	-5.06	-1.34
chr1	43866549	43866649	400	Uxs1	+	14.15	16.50	30.66	-1.17	-2.17
chr1	43972273	43972373	-831	Tpp2	+	13.40	22.17	24.32	-1.65	1.81
chr1	43972806	43973031	-236	Tpp2	+	20.85	26.06	26.49	-1.25	-1.27
chr1	44158411	44158511	139	Bivm	+	26.35	25.14	33.81	1.05	1.28
chr1	44158566	44158666	-72	Bivm	+	14.40	22.66	34.76	-1.57	2.41
chr1	44158819	44158986	214	Bivm	+	36.55	28.88	41.32	1.26	-1.13
chr1	44590877	44590977	96	Gulp1	+	11.45	20.09	23.90	-1.76	2.08
chr1	45833947	45834218	-244	Wdr75	+	42.75	46.27	43.15	-1.08	1.01
chr1	45834242	45834363	-24	Wdr75	+	34.25	20.12	48.67	1.7	-1.42
chr1	45964924	45965065	-240	Slc40a1	+	46.25	43.23	49.63	1.07	1.07
chr1	45965129	45965300	-460	Slc40a1	+	43.70	30.82	52.57	1.42	-1.2
chr1	46105909	46106009	-54	Dnah7b	+	35.80	17.85	36.81	2	-1.03
chr1	46106020	46106199	96	Dnah7b	+	46.25	36.20	58.58	1.28	1.27
chr1	46464654	46464810	54	Dnah7c	+	12.45	19.08	15.44	-1.54	1.24
chr1	46893549	46893719	-856	Slc39a10	+	38.30	25.63	50.14	1.49	1.31
chr1	51372790	51372890	98	9330175M20Rik	+	31.55	30.47	33.08	1.04	-1.05
chr1	51372971	51373122	-108	9330175M20Rik	+	37.30	38.71	45.66	-1.04	1.23
chr1	51373696	51373796	-808	9330175M20Rik	+	38.80	28.15	43.67	1.38	1.13
chr1	51373832	51373932	-944	9330175M20Rik	+	26.35	29.67	29.83	-1.13	1.13
chr1	51518042	51518173	-549	Nabp1	+	29.85	28.64	30.85	1.04	1.03
chr1	51635903	51636003	-76	Gm17767	+	14.65	11.55	33.37	1.27	-2.28
chr1	52158124	52158317	-377	Stat1	+	35.05	31.12	38.71	1.13	-1.11
chr1	52158400	52158500	-147	Stat1	+	21.60	19.24	29.19	1.12	-1.35
chr1	52272819	52272920	-478	Gls	+	14.90	32.72	27.81	-2.19	1.86
chr1	52540220	52540320	-663	Nab1	+	17.90	19.11	29.34	-1.07	1.64
chr1	52540335	52540435	-778	Nab1	+	16.40	12.58	29.32	1.31	1.79
chr1	52766704	52766804	-237	Mfsd6	+	30.85	24.62	38.21	1.25	1.24
chr1	52856748	52856848	49	Inpp1	+	40.75	33.71	46.61	1.21	1.14
chr1	52856858	52856975	-69	Inpp1	+	34.80	38.22	52.60	-1.1	1.51
chr1	52884019	52884119	-128	Hibch	+	10.95	13.56	12.44	-1.24	1.13
chr1	52884178	52884291	37	Hibch	+	26.85	20.11	31.15	1.33	-1.16
chr1	52991982	52992086	-35	1700019D03Rik	+	39.45	39.45	41.07	1	-1.04
chr1	53011569	53011669	-414	1700019D03Rik	+	12.90	3.73	26.56	3.46	-2.06
chr1	53100014	53100114	-735	Mstn	+	9.15	4.16	33.17	2.21	-3.63
chr1	53100346	53100446	-403	Mstn	+	7.70	3.56	26.40	2.16	-3.43
chr1	53336209	53336459	80	Ormdl1	+	41.75	30.68	46.62	1.36	1.12
chr1	53336567	53336667	363	Ormdl1	+	14.40	25.68	21.35	-1.78	1.48
chr1	53352317	53352417	-416	Osgepl1	+	41.75	31.69	54.57	1.32	1.31
chr1	53352499	53352722	-173	Osgepl1	+	53.70	54.30	61.56	-1.01	1.15
chr1	53745991	53746171	-138	Dnah7a	+	23.85	27.17	23.85	-1.14	-1
chr1	53746312	53746412	-419	Dnah7a	+	14.90	22.65	17.88	-1.52	1.2
chr1	54234306	54234516	-218	Hecw2	+	38.30	27.64	55.61	1.38	1.45
chr1	54289237	54289337	-555	Ccdc150	+	13.65	12.91	16.38	1.06	-1.2
chr1	54289547	54289652	-243	Ccdc150	+	12.90	29.64	17.59	-2.29	-1.37
chr1	54596834	54596934	-41	Pgap1	+	6.45	3.09	17.51	2.09	-2.72
chr1	54596970	54597111	-197	Pgap1	+	18.15	14.06	26.02	1.29	-1.44
chr1	54965401	54965501	95	Ankrd44	+	29.35	23.22	30.36	1.26	-1.04
chr1	54965576	54965676	-80	Ankrd44	+	11.45	13.95	12.49	-1.22	-1.09
chr1	55091350	55091574	-467	Coq10b	+	41.70	36.30	43.84	1.15	-1.05
chr1	55091672	55091772	-207	Coq10b	+	8.95	17.60	14.42	-1.97	1.61
chr1	55126635	55126799	374	Hspd1	+	24.10	13.13	27.85	1.84	-1.16
chr1	55169679	55169779	-675	Mob4	+	20.90	16.58	26.37	1.26	1.26
chr1	55170021	55170121	-333	Mob4	+	16.90	27.16	18.39	-1.61	1.09
chr1	55170139	55170239	-215	Mob4	+	5.45	11.61	8.92	-2.11	1.63
chr1	57417102	57417202	373	1700066M21Rik	+	19.35	10.79	32.69	1.79	-1.69
chr1	57445275	57445375	-100	Maip1	+	13.40	18.11	16.75	-1.35	-1.25
chr1	57445673	57445826	84	Tyw5	+	21.10	9.09	26.10	2.32	-1.24
chr1	57813559	57813659	-411	Spats2l	+	33.00	25.99	51.40	1.27	-1.56
chr1	57813800	57813948	-146	Spats2l	+	43.45	23.67	63.65	1.84	-1.47
chr1	57813998	57814098	28	Spats2l	+	27.30	16.68	36.59	1.64	-1.34
chr1	58008771	58008886	-145	Kctd18	+	24.35	21.13	27.83	1.15	1.14
chr1	58008971	58009108	204	Kctd18	+	29.30	25.56	35.93	1.15	-1.23
chr1	58009149	58009249	44	Kctd18	+	20.60	13.08	32.83	1.58	-1.6
chr1	58034289	58034389	-794	Sgo2a	+	12.45	8.03	16.43	1.54	1.32
chr1	58034524	58034680	-531	Sgo2a	+	15.90	26.16	20.87	-1.64	1.31
chr1	58034691	58034791	-392	Sgo2a	+	12.95	20.58	17.93	-1.59	1.38
chr1	58068609	58068709	-469	Aox1	+	13.40	19.65	27.30	-1.46	2.03
chr1	58068843	58068943	-235	Aox1	+	17.65	20.82	18.15	-1.18	-1.03
chr1	58431852	58431952	-155	Bzw1	+	11.90	1.17	69.70	10.13	-5.86
chr1	58484350	58484450	90	Nif3l1	+	14.40	18.13	14.40	-1.26	-1
chr1	58485037	58485137	-442	Ppil3	+	15.90	7.41	24.80	2.14	-1.56
chr1	58625076	58625176	187	Hycc2	+	12.95	17.07	16.44	-1.32	1.27
chr1	58625376	58625476	66	Hycc2	+	8.95	14.58	20.88	-1.63	2.33
chr1	58732081	58732181	-527	Flacc1	+	0.50	5.00	7.00	-10.11	13.98
chr1	58750547	58750730	-12	Cflar	+	26.85	28.66	27.84	-1.07	1.04
chr1	59012556	59012656	35	Trak2	+	12.45	16.57	15.44	-1.34	1.24
chr1	59012832	59012987	228	Stradb	+	31.55	24.31	35.23	1.3	-1.12
chr1	59013297	59013397	666	Stradb	+	13.40	11.59	19.85	1.16	1.48
chr1	59159364	59159490	140	Tmem237	+	33.75	22.92	51.25	1.47	-1.52
chr1	59159553	59159775	-97	Tmem237	+	43.20	42.74	52.08	1.01	-1.2
chr1	59276458	59276558	-6	Gm33667	+	8.45	5.53	9.44	1.53	1.12
chr1	59276810	59276910	346	Gm33667	+	7.45	18.12	14.90	-2.43	2
chr1	59709888	59709988	55	Sumo1	+	13.90	7.05	14.40	1.98	1.03
chr1	59710009	59710109	-66	Sumo1	+	24.85	15.09	24.85	1.65	-1
chr1	59710121	59710221	-178	Sumo1	+	29.35	20.10	29.85	1.46	1.02
chr1	59802974	59803074	-414	Bmpr2	+	15.65	6.41	22.27	2.44	-1.42
chr1	60137444	60137544	88	Carf	+	8.45	9.56	18.39	-1.13	2.17
chr1	60137830	60137930	-221	Wdr12	+	13.15	18.79	13.66	-1.42	-1.04
chr1	60138008	60138132	-411	Wdr12	+	9.45	20.52	10.50	-2.17	-1.11
chr1	60218744	60218844	-964	Nbeal1	+	8.45	16.60	20.88	-1.96	2.47
chr1	60218876	60218976	-832	Nbeal1	+	5.45	25.74	19.32	-4.69	3.54
chr1	60219165	60219270	-541	Nbeal1	+	23.35	23.15	32.79	1.01	1.4
chr1	60382100	60382247	-286	Cyp20a1	+	38.50	42.35	42.14	-1.1	-1.1
chr1	60382377	60382543	1	Cyp20a1	+	27.85	23.12	30.83	1.2	1.11
chr1	60448810	60448910	82	Abi2	+	5.95	9.58	6.94	-1.6	1.17
chr1	62833783	62833883	58	4930487H11Rik	+	14.40	18.13	16.88	-1.26	1.17
chr1	63153751	63153851	-98	Ino80dos	+	31.30	28.18	31.80	1.11	1.01
chr1	63153904	63154004	55	Ino80dos	+	24.10	21.91	39.08	1.1	-1.62
chr1	63154063	63154163	214	Ino80dos	+	30.00	21.22	65.53	1.41	-2.19
chr1	63154337	63154437	488	Ino80dos	+	27.85	19.10	29.34	1.46	1.05
chr1	63215456	63215564	471	Ndufs1	+	28.55	10.63	55.64	2.68	-1.95
chr1	63215579	63215679	352	Ndufs1	+	43.20	24.82	52.08	1.74	-1.2
chr1	63253312	63253509	30	Cmklr2	+	22.85	25.67	32.47	-1.12	-1.42
chr1	63769308	63769408	119	Mdh1b	+	15.15	11.82	20.39	1.28	-1.35
chr1	63769474	63769593	-56	Mdh1b	+	13.90	17.63	18.86	-1.26	1.36
chr1	64571414	64571514	-499	Creb1	+	25.85	21.12	26.35	1.22	1.02
chr1	64656960	64657060	-87	Mettl21a	+	17.15	12.89	17.65	1.33	-1.03
chr1	64730693	64730793	239	Ccnyl1	+	6.45	12.09	17.37	-1.87	2.69
chr1	64995909	64996070	-6	Plekhm3	+	32.80	30.81	37.03	1.06	-1.13
chr1	64996092	64996285	-205	Plekhm3	+	53.70	36.20	54.10	1.48	1.01
chr1	65225043	65225187	523	Idh1	+	26.50	13.75	78.52	1.93	-2.97
chr1	65225188	65225288	400	Idh1	+	19.60	15.45	25.94	1.27	-1.33
chr1	65225417	65225517	171	Idh1	+	21.40	29.64	25.88	-1.39	1.21
chr1	65225658	65225758	-70	Idh1	+	8.65	3.83	92.27	2.26	-10.68
chr1	66506591	66506691	-452	Unc80	+	13.15	13.32	20.04	-1.01	-1.53
chr1	66902335	66902435	83	Acadl	+	10.15	10.65	24.53	-1.05	-2.42
chr1	69725688	69725788	-619	Ikzf2	+	23.60	17.27	36.99	1.37	-1.57
chr1	69725789	69725892	-721	Ikzf2	+	35.75	18.65	65.19	1.92	-1.83
chr1	69726054	69726154	-985	Ikzf2	+	14.90	17.11	22.35	-1.15	1.5
chr1	71142447	71142547	-366	Bard1	+	21.10	6.04	24.89	3.5	-1.18
chr1	71596127	71596227	-138	Atic	+	25.10	22.40	36.73	1.12	-1.47
chr1	71596270	71596383	11	Atic	+	21.35	21.16	24.55	1.01	-1.15
chr1	71692029	71692129	314	Fn1	+	7.95	2.52	10.93	3.16	1.37
chr1	72283108	72283208	6	D230017M19Rik	+	15.90	7.57	18.02	2.1	-1.13
chr1	72323647	72323747	165	Tmem169	+	18.65	18.85	19.15	-1.01	-1.03
chr1	72323966	72324066	484	Tmem169	+	23.85	18.38	38.03	1.3	-1.6
chr1	72324287	72324387	805	Tmem169	+	14.90	21.14	20.86	-1.42	1.4
chr1	72622345	72622488	6	Smarcal1	+	12.95	7.53	13.95	1.71	1.08
chr1	72750289	72750536	-7	Rpl37a	+	22.85	29.69	31.79	-1.3	1.39
chr1	73179795	73179895	-9	Gm31254	+	10.20	7.91	17.68	1.29	-1.74
chr1	73903526	73903723	1	6030407O03Rik	+	22.35	17.11	23.34	1.31	1.04
chr1	74545513	74545613	344	Cnot9	+	14.90	17.11	14.90	-1.15	-1
chr1	74545832	74545932	663	Cnot9	+	15.15	8.91	15.66	1.7	-1.03
chr1	74581616	74581748	-366	Plcd4	+	16.40	28.47	23.69	-1.74	-1.45
chr1	74581766	74581866	-232	Plcd4	+	16.90	29.17	21.87	-1.73	1.29
chr1	74581904	74582004	-94	Plcd4	+	17.90	18.10	26.85	-1.01	1.5
chr1	74626563	74626663	574	Zfp142	+	16.40	10.56	17.39	1.55	1.06
chr1	74627102	74627202	35	Zfp142	+	10.95	16.58	21.90	-1.52	2
chr1	74640402	74640518	96	Rnf25	+	11.45	17.07	18.92	-1.5	1.65
chr1	74640532	74640632	-26	Rnf25	+	9.70	13.61	13.94	-1.41	-1.44
chr1	74752604	74752739	-23	Cyp27a1	+	22.35	17.55	26.71	1.27	-1.2
chr1	75101835	75101935	-15	Nhej1	+	17.15	16.89	23.66	1.01	-1.38
chr1	75118289	75118389	-4	Cnppd1	+	16.90	13.58	23.36	1.25	1.38
chr1	75118394	75118543	-133	Cnppd1	+	23.85	14.09	26.83	1.69	1.12
chr1	75119689	75119789	-63	Retreg2	+	13.40	16.12	22.83	-1.2	1.7
chr1	75145340	75145440	11	Zfand2b	+	21.60	14.43	25.38	1.5	-1.18
chr1	75168151	75168413	372	Atg9a	+	28.85	33.17	33.82	-1.15	1.17
chr1	75168691	75168791	-63	Ankzf1	+	3.95	0.90	5.08	4.45	-1.29
chr1	75195817	75195917	71	Tuba4a	+	10.45	14.57	10.45	-1.4	-1
chr1	75213174	75213353	-83	Dnajb2	+	27.35	32.18	36.30	-1.18	1.33
chr1	75240875	75240975	-73	Ptprn	+	10.95	13.56	11.95	-1.24	1.09
chr1	75293662	75293807	-73	Dnpep	+	20.85	23.48	24.06	-1.12	-1.16
chr1	75293828	75293928	-217	Dnpep	+	23.60	35.81	28.54	-1.52	-1.21
chr1	75294915	75295015	-684	Dnpep	+	14.40	18.63	19.86	-1.29	1.38
chr1	75358693	75358793	-15	Speg	+	6.95	13.09	11.91	-1.88	1.71
chr1	75375869	75375969	-810	Speg	+	10.90	2.21	42.39	4.94	-3.89
chr1	75456043	75456216	-14	Chpf	+	9.95	13.07	18.41	-1.31	1.85
chr1	75456614	75456714	488	Tmem198	+	15.15	7.46	31.06	2.03	-2.05
chr1	75497984	75498243	-60	Stk11ip	+	41.75	20.62	43.64	2.03	1.05
chr1	75522499	75522650	-336	Slc4a3	+	22.10	14.76	50.75	1.5	-2.3
chr1	75522851	75522951	-9	Slc4a3	+	33.30	13.38	34.31	2.49	-1.03
chr1	77473344	77473444	11	Mir6352	+	13.40	6.05	25.81	2.22	1.92
chr1	78286998	78287098	65	Sgpp2	+	6.95	8.06	13.40	-1.16	1.93
chr1	78465745	78465945	-311	Farsb	+	14.40	21.15	25.32	-1.46	1.76
chr1	79753692	79753792	7	Mrpl44	+	4.95	1.00	14.85	4.94	-3
chr1	80318934	80319034	-577	Cul3	+	14.65	14.81	26.51	-1.01	-1.81
chr1	81054190	81054290	-427	Nyap2	+	10.45	11.56	27.87	-1.11	2.66
chr1	81054835	81054935	-36	Nyap2	+	10.40	4.36	23.20	2.39	-2.23
chr1	82270010	82270110	-900	Irs1	+	23.60	18.26	27.35	1.29	-1.16
chr1	82293834	82293934	-416	Rhbdd1	+	26.85	24.28	30.01	1.11	-1.12
chr1	82294071	82294297	-116	Rhbdd1	+	33.80	23.64	39.67	1.43	1.17
chr1	82817083	82817183	-48	Agfg1	+	4.45	1.89	8.90	2.37	-2
chr1	83015995	83016188	78	Slc19a3	+	33.30	19.62	34.79	1.7	1.04
chr1	83137249	83137349	-177	Daw1	+	3.00	13.50	13.50	-4.55	4.49
chr1	83385793	83385893	78	Sphkap	+	17.90	19.11	29.34	-1.07	1.64
chr1	84673240	84673340	-270	Mir5126	+	19.90	18.09	33.33	1.1	1.67
chr1	84816604	84816704	371	Trip12	+	19.90	22.61	36.82	-1.14	1.85
chr1	84817558	84817658	46	Fbxo36	+	10.90	9.31	29.07	1.17	-2.67
chr1	85177116	85177327	-111	Gm7609	+	3.50	1.50	3.50	2.31	-1
chr1	85679328	85679428	-291	Mir8096	+	8.70	10.64	10.33	-1.22	-1.19
chr1	85679431	85679531	-188	Mir8096	+	10.15	7.47	41.87	1.36	-4.13
chr1	85721564	85721664	-124	Cab39	+	15.90	8.41	30.35	1.89	-1.91
chr1	86081970	86082137	-449	Armc9	+	19.35	26.69	29.34	-1.38	-1.52
